"PLAKA","VALIDATORNO","SKPVARMI","SKPSERINO"
"R2795","6,334","1","1109"
"DB3464","6,335","0","1064"
"DB3469","6,336","0",""
"DA7598","6,301","1","1044"
"SE287","6,302","0",""
"P5896","6,303","1","1016"
"HN312","6,304","1","1007"
"ELZ09","6,305","",""
"P5992","6,306","1","0"
"FE583","6,307","1","914"
"DHB76","7,428","1","1857"
"FE580","6,406","1","1034"
"DA7278","6,407","0","442"
"DA7788","6,408","0","969"
"Y1072","6,409","",""
"CNF73","6,438","1","1105"
"CZK26","6,439","1","955"
"EFH06","6,440","1","3377"
"VZ705","6,428","1","0"
"Y9974","6,429","0",""
"DD1618","6,430","0",""
"BKJ38","6,431","1","1135"
"AS8100","6,432","0",""
"SF144","6,433","1","1114"
"EK411","6,434","1","0"
"V1242","6,435","1","947"
"ADD281","6,436","0",""
"U3909","6,437","1","1079"
"TZ781","6,465","1","944"
"PE660","6,466","1","1043"
"LE783","6,467","1","1113"
"DA7538","6,468","1","85"
"CO DC4688","9,529","",""
"DK378","6,540","1","684"
"VZ016","6,541","0",""
"FE834","6,542","1",""
"DA4056","6,543","1","815"
"DB2770","6,544","0",""
"DB2806","6,545","0",""
"DB6219","6,546","1",""
"P5785","6,547","1","3963"
"LV268","6,548","1","309"
"LL102","6,549","1","3516"
"P5419","6,550","1","948"
"U3887","6,552","0",""
"FU411","6,553","0",""
"DD1608","6,556","0",""
"CNF79","6,532","1","3380"
"DB2840","6,533","0","613"
"DB3973","6,534","0",""
"ALV797","6,535","0",""
"PE310","6,588","1","790"
"EE475","6,589","1","791"
"AOC910","6,590","0",""
"Y0607","7,650","1","1267"
"DD1602","6,591","0",""
"FT005","6,592","1","3978"
"ED685","6,593","1","784"
"RC929","6,594","1","792"
"DA4030","6,595","0","809"
"DA7463","6,596","1","1209"
"Y2375","6,597","1",""
"DA7454","6,598","",""
"DB3297","6,600","0",""
"ADD316","6,601","0",""
"Y8286","6,602","1","696"
"DB3310","6,603","0",""
"V2200","6,604","1","783"
"DB5973","6,605","1","639"
"DB3246","6,573","0",""
"U3903","6,574","1","956"
"KN524","6,575","1","601"
"FU399","6,576","1","695"
"LL129","6,577","1","3715"
"P4431","6,579","1","3974"
"V3433","6,580","1","3186"
"CI DC4686","9,028","0",""
"VZ707","6,581","0",""
"V2209","6,582","1","808"
"EE486","6,583","0",""
"KC379","6,584","1","651"
"R4856","6,585","1","3166"
"DA5411","6,586","0",""
"DA5405","6,587","0",""
"LV245","6,622","",""
"DB4217","6,623","0",""
"ELK93","6,624","1","772"
"ELZ16","6,625","1","807"
"EL241","6,626","0",""
"V2208","6,627","0",""
"P5788","6,628","1","804"
"RV219","6,629","1","3511"
"V2207","6,630","1","698"
"P5786","6,631","1","3962"
"EE480","6,632","1","798"
"FT909","6,634","1","796"
"Y8338","6,635","0",""
"FT798","6,637","1","802"
"HF757","6,469","1","1108"
"YZ095","6,470","",""
"LE766","6,471","1","1102"
"LN622","6,472","1","362"
"U3919","6,473","1","960"
"R0868","6,475","1","1081"
"AS8205","6,476","0",""
"VZ716","6,477","1","1107"
"EFH09","6,478","1","3376"
"LV963","6,479","1","943"
"DB2761","6,480","0",""
"PE373","6,481","1","3995"
"DB5375","6,482","1",""
"DB3462","6,483","1","1086"
"V3726","6,489","1","993"
"AOD068","6,490","0",""
"CZK27","6,491","1","936"
"DB3463","6,493","1",""
"P5795","6,494","1","0"
"DA7290","6,495","1","1046"
"DB5962","6,496","1","1088"
"CI DA8070","9,051","",""
"V2124","6,497","1","0"
"DB3203","6,498","0",""
"DB6214","6,499","1",""
"UH572","6,500","1","898"
"DB3470","6,484","0",""
"DB3465","6,485","0","1078"
"U7395","6,486","1","0"
"DB3964","6,487","1",""
"DA7993","6,488","0","958"
"V3436","6,501","1","1039"
"UF809","6,503","",""
"Y2402","6,504","1","3811"
"VZ395","6,505","1","615"
"R5211","6,507","1","3234"
"PV279","6,508","1","3959"
"KN371","6,509","1","655"
"LV059","6,510","1","644"
"LV067","6,511","1","3396"
"DB2687","6,512","0",""
"DB2805","6,513","0",""
"DB5969","6,514","0",""
"LL104","6,515","1","667"
"DA7454","6,516","0","610"
"DB2689","6,517","0",""
"YZ082","6,518","1","642"
"YS276","6,519","1","3673"
"ELZ21","6,520","1","166"
"U5679","6,521","0",""
"DB4793","6,522","1",""
"Y0625","6,523","1","3502"
"FU689","6,524","1","3979"
"HN358","6,525","0",""
"PE226","6,526","1","701"
"RV211","6,527","1","793"
"06JTF43","6,528","",""
"DA4059","6,529","0","818"
"FE796","6,530","0",""
"ED686","6,531","1","801"
"FE847","6,536","1","652"
"U3897","6,537","1","686"
"R4953","6,538","1","1321"
"DB2800","6,539","0",""
"P5842","6,474","1","0"
"LH409","6,708","1","771"
"FU420","6,709","1","685"
"CZU34","6,710","0",""
"DB5251","6,711","0",""
"DB4625","6,712","0","615"
"FU423","6,713","1","3368"
"V3430","6,714","1","3195"
"R0862","6,715","1","945"
"R2820","6,716","1","673"
"KN282","6,717","1","3404"
"EFH56","6,718","1","3741"
"DB4799","6,719","0","382"
"KN619","6,720","1","600"
"BKJ39","6,721","1","3363"
"DB3298","6,726","0",""
"ADD341","6,728","0",""
"R4866","6,729","1","639"
"UF834","6,730","1","1004"
"CYV19","6,732","1","618"
"KN504","6,733","1","3398"
